bibcode	title	author	aff	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid_user	property	keyword_norm	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match
2017yCat..74470817B	['VizieR Online Data Catalog: Spectrum of the planetary nebula NGC 6210 (Bohigas+, 2015)']	['Bohigas, J.', 'Escalante, V.', 'Rodriguez, M.', 'Dufour, R. J.']	['-', '-', '-', '-']	2017	VizieR Online Data Catalog		['J/MNRAS/447/817']	2017-11-00	2017-11-01T00:00:00Z	['yCat', 'yCat..744']		0	catalog		['ASSOCIATED', 'DATA', 'NONARTICLE', 'NOT REFEREED']	['ism planetary nebulae', 'techniques spectroscopic']	('Escalante, V.', 90)	
2017IAUS..323..337E	['A New Model of NGC 6210 to Solve its Abundance Discrepancy Problem']	['Escalante, V.', 'Toalá, J. A.']	['Instituto de Radioastronomía y Astrofísica UNAM, Morelia 58341, Michoacán, México', 'Institute of Astronomy and Astrophysics Academia Sinica (ASIAA), Taipei 10617, Taiwan']	2017	Planetary Nebulae: Multi-Wavelength Probes of Stellar and Galactic Evolution	323	['337']	2017-10-00	2017-10-01T00:00:00Z	['IAUS', 'IAUS..323']		0	inproceedings		['ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'PUB_OPENACCESS', 'TOC']	['ism abundances', 'ism planetary nebulae']	('Escalante, V.', 90)	
2015MNRAS.447..817B	['Echelle spectroscopy and photoionization modelling of the entire planetary nebula NGC 6210']	['Bohigas, J.', 'Escalante, V.', 'Rodríguez, M.', 'Dufour, R. J.']	['Instituto de Astronomía, Universidad Nacional Autónoma de México, Km. 103 Carretera Tijuana-Ensenada, 22860 Ensenada, Baja California, Mexico', '2Centro de Radioastronomía y Astrofísica (CRyA), Universidad Nacional Autónoma de México, Ap. Postal 72-3, 58091 Morelia, Michoacán, Mexico', '3Instituto Nacional de Astrofísica, Óptica y Electrónica (INAOE), Apdo. Postal 51 y 216, 7200 Puebla, Mexico', '4Physics and Astronomy Department, Rice University, 6100 Main MS-61, Houston, TX 77005-1827, USA']	2015	Monthly Notices of the Royal Astronomical Society	447	['817']	2015-02-00	2015-02-01T00:00:00Z	['MNRAS', 'MNRAS.447']	['2015MNRAS.453.1281B', '2017IAUS..323..337E', '2019MNRAS.484.3251A', '2020ApJ...899...33L', '2020MNRAS.495.1016R', '2021MNRAS.502.1070H', '2021MNRAS.507.5331J']	7	article		['ARTICLE', 'ASSOCIATED', 'DATA', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['ism abundances', 'ism general']	('Escalante, V.', 90)	
2012MNRAS.426.2318E	['Excitation of emission lines by fluorescence and recombination in IC 418']	['Escalante, V.', 'Morisset, C.', 'Georgiev, L.']	['Centro de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Ap. Postal 72-3 CP 58091 Morelia, Michoacán Mexico', 'Instituto de Astronomía, Universidad Nacional Autónoma de México, Ap. Postal 70-264 CP 04510 México, DF Mexico; Instituto de Astrofísica de Canarias, C/Vía Láctea, S/N 38205 San Cristóbal de la Laguna (Tenerife), España', 'Instituto de Astronomía, Universidad Nacional Autónoma de México, Ap. Postal 70-264 CP 04510 México, DF Mexico']	2012	Monthly Notices of the Royal Astronomical Society	426	['2318']	2012-11-00	2012-11-01T00:00:00Z	['MNRAS', 'MNRAS.426']	['2013A&A...558A.122G', '2014ApJ...784..173D', '2014ApJ...785..100M', '2014PhDT........76D', '2015MNRAS.447..817B', '2015MNRAS.453.1281B', '2016MNRAS.462...12O', '2017IAUS..323...43M', '2017MNRAS.470..839D', '2017MNRAS.471.1341M', '2017cfe..confE..33R', '2018MNRAS.473.4476G', '2018MNRAS.480.4589W', '2019arXiv190406763G', '2021ApJ...918...27M', '2021ApJS..257...58D', '2021MNRAS.508.2668E', '2022MNRAS.510.5444G', '2022MNRAS.514.1217D']	19	article	['-', '0000-0001-5801-6724', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['atoms', 'ism planetary nebulae', '-', '-']	('Escalante, V.', 90)	('-', 0)
2012IAUS..283..350E	['Excitation of emission lines by fluorescence and recombination in IC 418']	['Escalante, Vladimir', 'Morisset, Cristophe', 'Georgiev, Leonid']	['CRyA, UNAM, Ap. Postal 72–3, C. P. 58091, Morelia, Michoacán, México', 'CRyA, UNAM, Ap. Postal 72–3, C. P. 58091, Morelia, Michoacán, México', 'Instituto de Astronomía, UNAM Ap. Postal 70–264, C. P. 04510, México, D. F., México emails: ,']	2012	IAU Symposium	283	['350']	2012-08-00	2012-08-01T00:00:00Z	['IAUS', 'IAUS..283']	['2015A&A...573A..42L']	1	article	['-', '0000-0001-5801-6724', '-']	['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']	['ism planetary nebulae', 'atoms', 'radiation']	('Escalante, Vladimir', 100)	('-', 0)
2011RMxAC..40..189E	['Models of expanding photodissociation regions']	['Escalante, V.']	['Centro de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apdo. Postal 72-3, 58091, Morelia, Michoacán, Mexico']	2011	Revista Mexicana de Astronomia y Astrofisica Conference Series	40	['189']	2011-10-00	2011-10-01T00:00:00Z	['RMxAC', 'RMxAC..40']		0	inproceedings		['ARTICLE', 'DATA', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'PUB_OPENACCESS', 'TOC']		('Escalante, V.', 90)	
2011RMxAC..40..181R	['Observations of the photodissociated HI region that surrounds G213.880-11.837']	['Rodríguez-Rico, C. A.', 'Gómez, Y.', 'Garay, G.', 'Neria, C.', 'Rodríguez, L. F.', 'Escalante, V.', 'Lizano, S.', 'Lebrón, M.']	['Departamento de Astronomía, Universidad de Guanajuato, Callejón de Jalisco s/n, Col. Valenciana, Guanajuato, Guanajuato, Mexico', '-', '-', '-', '-', '-', '-', '-']	2011	Revista Mexicana de Astronomia y Astrofisica Conference Series	40	['181']	2011-10-00	2011-10-01T00:00:00Z	['RMxAC', 'RMxAC..40']		0	inproceedings	['-', '-', '-', '-', '-', '-', '-', '0000-0001-7943-9961']	['ARTICLE', 'DATA', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'PUB_OPENACCESS', 'TOC']	['ism hii regions', 'astronomy radio']	('Escalante, V.', 90)	('-', 0)
2011arXiv1109.6743E	['Excitation of emission lines by fluorescence and recombination in IC 418']	['Escalante, V.', 'Morisset, C.', 'Georgiev, L.']	['-', '-', '-']	2011	arXiv e-prints		['arXiv:1109.6743']	2011-09-00	2011-09-01T00:00:00Z	['arXiv', 'arXiv1109']		0	eprint	['-', '0000-0001-5801-6724', '-']	['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS']	['-', '-']	('Escalante, V.', 90)	('-', 0)
2010AJ....140..913G	['An Expanding H I Photodissociated Region Associated with the Compact H II Region G213.880-11.837 in the GGD 14 Complex']	['Gómez, Y.', 'Garay, G.', 'Rodríguez-Rico, C. A.', 'Neria, C.', 'Rodríguez, L. F.', 'Escalante, V.', 'Lizano, S.', 'Lebrón, M.']	['Centro de Radioastronomía y Astrofísica, UNAM, Apartado Postal 3-72, Morelia, Michoacán 58089, Mexico', 'Departamento de Astronomía, Universidad de Chile, Casilla 36-D, Santiago, Chile', 'Departamento de Astronomía, Universidad de Guanajuato, Apartado Postal 144, Guanajuato, GTO 36240, Mexico', 'Centro de Radioastronomía y Astrofísica, UNAM, Apartado Postal 3-72, Morelia, Michoacán 58089, Mexico', 'Centro de Radioastronomía y Astrofísica, UNAM, Apartado Postal 3-72, Morelia, Michoacán 58089, Mexico', 'Centro de Radioastronomía y Astrofísica, UNAM, Apartado Postal 3-72, Morelia, Michoacán 58089, Mexico', 'Centro de Radioastronomía y Astrofísica, UNAM, Apartado Postal 3-72, Morelia, Michoacán 58089, Mexico', 'Departamento de Ciencias Físicas, Universidad de Puerto Rico, P.O. Box 23323, San Juan, PR 00931-3323, USA']	2010	The Astronomical Journal	140	['913']	2010-10-00	2010-10-01T00:00:00Z	['AJ', 'AJ....140']	['2011RMxAC..40..181R', '2015AJ....150..145W', '2020MNRAS.497.2651K']	3	article	['-', '-', '-', '-', '-', '-', '-', '0000-0001-7943-9961']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['ism hii regions', 'ism general', 'astronomy radio', '-']	('Escalante, V.', 90)	('-', 0)
2008ASSP....4..372R	['Anomalous Absorption Towards the Galactic Anticenter: A Blind Search for Dense Molecular Clouds']	['Rodríguez, Mónica Ivette', 'Allen, Ronald J.', 'Escalante, Vladimir', 'Loinard, Laurent', 'Wiklind, Tommy']	['Space Telescope Science Institute', 'Space Telescope Science Institute', 'Centro de Radiostronomía y Astrofísica, Universidad Nacional Autónoma de México', 'Centro de Radiostronomía y Astrofísica, Universidad Nacional Autónoma de México', 'Space Telescope Science Institute']	2008	Mapping the Galaxy and Nearby Galaxies	4	['372']	2008-00-00	2008-01-01T00:00:00Z	['ASSP', 'ASSP....4']		0	inproceedings	['-', '-', '-', '-', '-']	['ARTICLE', 'ESOURCE', 'NOT REFEREED']	['-']	('Escalante, Vladimir', 100)	('-', 0)
2007ApJ...663..824R	['A Comparison between Anomalous 6 cm H<SUB>2</SUB>CO Absorption and CO(1-0) Emission in the L1204/S140 Region']	['Rodríguez, Mónica Ivette', 'Wiklind, Tommy', 'Allen, Ronald J.', 'Escalante, Vladimir', 'Loinard, Laurent']	['Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218; Centro de Radiostronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 72-3, C.P. 58091, Morelia, Michoacán, México', 'Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218; Affiliated with the Space Sciences Department of the European Space Agency.', 'Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218', 'Centro de Radiostronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 72-3, C.P. 58091, Morelia, Michoacán, México', 'Centro de Radiostronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 72-3, C.P. 58091, Morelia, Michoacán, México']	2007	The Astrophysical Journal	663	['824']	2007-07-00	2007-07-01T00:00:00Z	['ApJ', 'ApJ...663']	['2008hsf1.book..136K', '2011Ap&SS.332..249N', '2011RAA....11...63W', '2012AJ....143...97A', '2012Ap&SS.337..283Z', '2013A&A...551A..28T', '2014RAA....14..959T', '2016Ap&SS.361..264G']	8	article	['-', '-', '0000-0001-9906-8352', '-', '-']	['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['galaxies intergalactic medium', 'ism clouds', 'ism molecules', 'astronomy radio', 'stars fundamental parameters', 'astrophysics']	('Escalante, Vladimir', 100)	('-', 0)
2005AAS...207.8106R	['Anomalous H<SUB>2</SUB>CO Absorption in the L1204/S140 Region and a Comparison with CO(1-0) Emission']	['Rodriguez, M. I.', 'Loinard, L.', 'Allen, R. J.', 'Escalante, V.', 'Wiklind, T.']	['STScI', 'CRyA', 'STScI', 'CRyA', 'STScI']	2005	American Astronomical Society Meeting Abstracts	207	['81.06']	2005-12-00	2005-12-01T00:00:00Z	['AAS', 'AAS...207']		0	abstract		['NONARTICLE', 'NOT REFEREED']		('Escalante, V.', 90)	
2005MNRAS.361..813E	['The NII spectrum of the Orion nebula']	['Escalante, Vladimir', 'Morisset, Christophe']	['Centro de Radioastronomía y Astrofísica, Ap. Postal 72-3, C. P. 58091, Morelia, Michoacán, Mexico', 'Instituto de Astronomía, Ap. Postal 70-264, C. P. 04510, México, DF, Mexico']	2005	Monthly Notices of the Royal Astronomical Society	361	['813']	2005-08-00	2005-08-01T00:00:00Z	['MNRAS', 'MNRAS.361']	['2007PhDT.......199G', '2007RMxAA..43....3G', '2007arXiv0704.0348S', '2009A&A...496..139G', '2009A&A...507.1517M', '2010ChPhB..19e3101S', '2011arXiv1109.6743E', '2012A&A...538A..54G', '2012IAUS..283..350E', '2012MNRAS.426.2318E', '2013A&A...558A.122G', '2013MNRAS.429.2791F', '2014PhDT........76D', '2015A&A...573A..42L', '2015ApJ...801..129S', '2015MNRAS.447..817B', '2015arXiv150304498S', '2015wrs..conf..325M', '2016MNRAS.462.1203S', '2018PhRvA..97a2510S', '2021ApJS..257...58D', '2021MNRAS.500.4849C', '2022MNRAS.509.2482W', '2022MNRAS.514.1217D']	24	article	['-', '0000-0001-5801-6724']	['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['line formation', 'ism general', 'astrophysics']	('Escalante, Vladimir', 100)	('-', 0)
2002RMxAC..12...22E	['Fluorescence of Permitted Lines in the Orion Nebula']	['Escalante, V.']	['Instituto de Astronomía, UNAM, Morelia']	2002	Revista Mexicana de Astronomia y Astrofisica Conference Series	12	['22']	2002-02-00	2002-02-01T00:00:00Z	['RMxAC', 'RMxAC..12']	['2004ApJ...615..323S', '2005MNRAS.361..813E']	2	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'PUB_OPENACCESS', 'TOC']	['atoms', 'ism hii regions', 'ism general']	('Escalante, V.', 90)	
2001RMxAC..11...69G	['Detection of Photodissociated Gas Toward the HII Region GGD12-15']	['Gomez, Y.', 'Lebron, M.', 'Rodriguez, L. F.', 'Lizano, S.', 'Escalante, V.', 'Garay, G.', 'Canto, J.']	['Instituto de Astronomia, U.N.A.M. Morelia', 'Instituto de Astronomia, U .N.A.M.', 'Instituto de Astronomia, U.N.A.M., Morelia', 'Instituto de Astron omia, U.N.A.M., Morelia', 'Instituto de Astronomia, U.N.A.M., Morelia', 'Dep artamento de Astronomia, Universidad de Chile, Santiago, Chile', 'Instituto de Astronomia, U.N.A.M.']	2001	Revista Mexicana de Astronomia y Astrofisica Conference Series	11	['69']	2001-07-00	2001-07-01T00:00:00Z	['RMxAC', 'RMxAC..11']		0	inproceedings	['-', '0000-0001-7943-9961', '-', '-', '-', '-', '-']	['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']		('Escalante, V.', 90)	('-', 0)
2000ign..confE..21E	['Fluorescence excitation mechanisms in ionized nebulae']	['Escalante, V.']	['-']	2000	Ionized Gaseous Nebulae		['21']	2000-11-00	2000-11-01T00:00:00Z	['ign', 'ign..conf']		0	inproceedings		['ARTICLE', 'NOT REFEREED', 'TOC']		('Escalante, V.', 90)	
1998AAS...193.1603W	['The Penetration of UV Radiation into PDRs']	['Watson, A. M.', 'Henney, W. J.', 'Escalante, V.']	['IA-UNAM', 'IA-UNAM', 'IA-UNAM']	1998	American Astronomical Society Meeting Abstracts	193	['16.03']	1998-12-00	1998-12-01T00:00:00Z	['AAS', 'AAS...193']		0	abstract	['-', '0000-0001-6208-9109', '-']	['NONARTICLE', 'NOT REFEREED']		('Escalante, V.', 90)	('-', 0)
1998larm.confE.189E	['Models of Photodissociation Regions']	['Escalante, V.', 'Lizano, S.', 'Canto, J.', 'Gomez, Y.', 'Rodriguez, L. F.', 'Garay, G.']	['Instituto de Astronomia U.N.A.M., Unidad Morelia', 'Instituto de Astrono mia U.N.A.M., Unidad Morelia', 'Instituto de Astronomia U.N.A.M.', 'Instituto de Astronomia U.N.A.M., Unidad Morelia', 'Instituto de Astronomia U.N.A.M., U nidad Morelia', 'Departamento de Astronomia, Universidad de Chile, Santiago, C hile']	1998	"IX Latin American Regional IAU Meeting, ""Focal Points in Latin American Astronomy"""		['189']	1998-11-00	1998-11-01T00:00:00Z	['larm', 'larm.conf']		0	inproceedings		['ARTICLE', 'NOT REFEREED', 'TOC']		('Escalante, V.', 90)	
1998ApJ...503..297G	['A Photodissociated Region Associated with the Compact H II Region near GGD 12-15']	['Gómez, Y.', 'Lebrón, M.', 'Rodríguez, L. F.', 'Garay, G.', 'Lizano, S.', 'Escalante, V.', 'Cantó, J.']	['Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Departamento de Astronomía, Universidad de Chile, Casilla 36-D, Santiago, Chile', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México', 'Instituto de Astronomía, UNAM, Apdo. Postal 70-264, 04510 México, D.F., México']	1998	The Astrophysical Journal	503	['297']	1998-08-00	1998-08-01T00:00:00Z	['ApJ', 'ApJ...503']	['1999PASP..111..385T', '2000ApJ...531..861G', '2001ApJ...560..806L', '2002A&A...390..337K', '2002AJ....124.3449K', '2002ApJ...571..901G', '2003A&A...406..149P', '2003AJ....126..286R', '2003CoKon.103...53L', '2004AcASn..45....1F', '2004Ap&SS.289...77S', '2004ChA&A..28..308F', '2007ARA&A..45..481Z', '2007ApJ...658L..41R', '2007ApJS..170..152A', '2007prpl.conf..181H', '2008A&A...484..361Q', '2008hsf1.book..899C', '2009ApJ...705..468H', '2010AJ....140..913G', '2011RMxAC..40..181R', '2013MNRAS.434.2742J', '2014ApJ...790...10S', '2015AJ....150..145W', '2016ApJ...826..201D']	25	article	['-', '0000-0001-7943-9961', '-', '-', '-', '-', '-']	['ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['ism hii regions', 'ism abundances', 'ism general', 'astronomy radio', 'ism hii regions', 'ism abundances', 'ism general', 'astronomy radio']	('Escalante, V.', 90)	('-', 0)
