bibcode	title	author	aff	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid_user	property	keyword_norm	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match	author_match	orcid_match
1998MNRAS.295..401E	['Chemical composition of the Orion nebula derived from echelle spectrophotometry.']	['Esteban, C.', 'Peimbert, M.', 'Torres-Peimbert, S.', 'Escalante, V.']	['-', '-', '-', '-']	1998	Monthly Notices of the Royal Astronomical Society	295	['401']	1998-04-00	1998-04-01T00:00:00Z	['MNRAS', 'MNRAS.295']	['1998Ap&SS.263..193E', '1998ApJ...501L.209R', '1998ApJ...503..760H', '1998ApJ...508..268S', '1999A&A...342L..37E', '1999A&A...348..222R', '1999A&A...349..276E', '1999A&A...351.1075R', '1999AJ....118.2350H', '1999ASPC..187....3P', '1999ApJ...513..168G', '1999ApJ...514..787C', '1999ApJ...517..782H', '1999ApJ...518..405V', '1999ApJ...521..212M', '1999ApJ...527..110L', '1999ApJ...527..474B', '1999ApJ...527..757I', '1999ApJS..120..113E', '1999IAUS..190..266G', '1999IAUS..190..282R', '1999MNRAS.308..447G', '1999PASJ...51..961T', '1999PASP..111..385T', '1999PASP..111..919H', '1999cezh.conf...30P', '1999cezh.conf...39L', '1999cezh.conf...67C', '2000A&A...354L..79H', '2000A&A...362..325P', '2000A&A...362..921H', '2000ASPC..199..301D', '2000ASPC..199..329K', '2000ApJ...531..928H', '2000ApJ...541..660H', '2000ApJ...541..688P', '2000ApJ...543..831V', '2000ApJS..129..229B', '2000IAUS..198..194P', '2000JGR...10510269M', '2000MNRAS.311..329D', '2000NewAR..44..205E', '2000PhR...333..433P', '2000RMxAA..36...43B', '2000RMxAA..36..171C', '2001A&A...365..268B', '2001A&A...369..594P', '2001A&A...372..291S', '2001A&A...378L..45I', '2001A&A...379..936P', '2001A&A...380..684P', '2001ARA&A..39...99O', '2001ApJ...553..633L', '2001ApJ...554..981P', '2001ApJ...554.1044C', '2001ApJ...558..145G', '2001ApJ...561..766M', '2001ApJ...562..804K', '2001ApJS..132..103K', '2001ApSSS.277..147P', '2001MNRAS.327..141L', '2001PABei..19...68H', '2001PASP..113...41F', '2001PNAS...98.9476K', '2001RMxAC..10...13G', '2001RMxAC..10...19B', '2002A&A...381..606M', '2002A&A...387..295K', '2002A&A...389..556R', '2002A&A...394..443P', '2002A&A...395..929R', '2002AJ....124.3313M', '2002ASSL..274..229P', '2002ApJ...564..704R', '2002ApJ...565..571V', '2002ApJ...566..315H', '2002ApJ...569..742P', '2002ApJ...573L.137A', '2002ApJ...581..241E', '2002ApJS..138..285M', '2002ApJS..142...53V', '2002IAUS..187..209P', '2002JPhB...35.2755M', '2002MNRAS.329..787L', '2002MNRAS.337..499Z', '2002RMxAA..38...97L', '2002RMxAA..38..279B', '2002RMxAC..12...12O', '2002RMxAC..12...22E', '2002RMxAC..12...56E', '2002RMxAC..12..189S', '2002RMxAC..14...47P', '2002astro.ph..7500S', '2002astro.ph.12263P', '2003A&A...401..557P', '2003A&A...407..105G', '2003A&A...407..957M', '2003A&A...409..619M', '2003AJ....125.2590O', '2003AJ....126.1861B', '2003ASPC..297...81P', '2003ApJ...584..735P', '2003ApJ...586.1120S', '2003ApJ...595..247R', '2003ApJS..145..225V', '2003ApJS..149..157S', '2003IAUS..212..749S', '2003MNRAS.338..687T', '2003MNRAS.339..825C', '2003MNRAS.340..362R', '2003MNRAS.345..186T', '2003PASP..115...80K', '2003PASP..115..342S', '2003RMxAA..39...55B', '2003RMxAC..15..181B', '2003RMxAC..16..113P', '2003RMxAC..18..123S', '2004A&A...414..931A', '2004A&A...425..849P', '2004AJ....127.2284H', '2004AJ....127.2826B', '2004ApJ...604..534S', '2004ApJ...611..338S', '2004ApJ...612..108S', '2004ApJ...615...98R', '2004ApJ...615..323S', '2004ApJS..150..431P', '2004ApJS..153..501G', '2004MNRAS.351..745L', '2004MNRAS.355..229E', '2004PASP..116..723E', '2004oee..symp..482P', '2005A&A...434..507S', '2005ApJ...618L..95E', '2005ApJ...620..703C', '2005ApJ...623..213C', '2005ApJ...631..231P', '2005ApJ...634.1056P', '2005MNRAS.361..813E', '2005MNRAS.362..301G', '2005RMxAC..24..243G', '2005astro.ph.10288S', '2006A&A...448..351S', '2006A&A...450..159K', '2006A&A...453..943C', '2006AJ....132.2326B', '2006ApJ...644..890G', '2006ApJ...644.1006B', '2006ApJ...653.1226Q', '2006ApJS..162..346R', '2006IAUS..234..459M', '2006MNRAS.367.1139P', '2006MNRAS.368..253G', '2006RMxAC..26....5B', '2006RMxAC..26...68C', '2006astro.ph.10903G', '2007A&A...464..995P', '2007A&A...465..207S', '2007A&A...468..121K', '2007A&A...471..193S', '2007A&A...472..847C', '2007AJ....133..952G', '2007AJ....134.1679O', '2007ApJ...655..299B', '2007ApJ...656..168L', '2007ApJ...657..327P', '2007ApJ...662...15I', '2007ApJ...664..915B', '2007ApJ...670..457G', '2007MNRAS.376..353P', '2007MNRAS.381..117P', '2007PhDT.......199G', '2007RMxAC..29...72P', '2007astro.ph..3124K', '2008A&A...482..215M', '2008ApJ...675..389M', '2008ApJ...680.1162H', '2008MNRAS.389L..33W', '2008RMxAA..44..181G', '2008RMxAA..44..311F', '2008RMxAA..44..341C', '2009A&A...496..139G', '2009AJ....137..367O', '2009ApJ...700..654E', '2009ApJ...705..226D', '2009MNRAS.394..693M', '2009MNRAS.395..855M', '2009PASA...26...11D', '2009RMxAA..45..107B', '2009arXiv0912.3781P', '2010ApJ...711..619M', '2010ApJ...724..791P', '2010IAUS..268...91P', '2010MNRAS.405.2651M', '2010arXiv1004.0756C', '2011A&A...526A..48S', '2011MNRAS.415..181F', '2011MNRAS.417..420M', '2011RMxAA..47..139C', '2011RMxAC..39....1P', '2012A&A...538A..64C', '2012ApJ...746..115P', '2012ApJ...756L..14P', '2012EAS....54..319S', '2012MNRAS.421.3399N', '2012MNRAS.422.3460S', '2012MNRAS.426..614M', '2012MNRAS.426.2318E', '2012MNRAS.426.2630L', '2013A&A...558A.122G', '2013ApJ...778...89P', '2013MNRAS.433..382E', '2013pss5.book..115K', '2014A&A...571A..93G', '2014AJ....147..131P', '2014ApJ...782...35S', '2014ApJ...785..100M', '2014MNRAS.440...89K', '2014MNRAS.443..624E', '2015ApJ...803...99C', '2015MNRAS.448.1584L', '2015MNRAS.452.2606G', '2015MNRAS.453.1281B', '2016MNRAS.455.4057M', '2016MNRAS.456.3855D', '2017ApJ...841....3L', '2017ApJ...847..107P', '2017MNRAS.466.4403N', '2017MNRAS.467.3759T', '2017MNRAS.471.1341M', '2017PASP..129h2001P', '2017RMxAA..53...95E', '2017hsa9.conf..263T', '2018MNRAS.473.4476G', '2018MNRAS.481..268T', '2019A&A...624A..21G', '2019ApJ...882..135Z', '2019MNRAS.489.1249L', '2019arXiv190501244P', '2020ApJ...892...19H', '2020ApJ...894..138S', '2020MNRAS.496.1051A', '2021ApJ...907...29C', '2021ApJ...918...27M', '2021MNRAS.502.1703M', '2021MNRAS.508..371A', '2022MNRAS.513..807D']	247	article		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	['line identification']	('Escalante, V.', 90)	
1996AAS...189.4603P	['Echelle Spectrophotometry of the Orion Nebula']	['Peimbert, M.', 'Esteban, C.', 'Torres-Peimbert, S.', 'Escalante, V.']	['IAUNAM', 'IAC', 'IAUNAM', 'IAUNAM']	1996	American Astronomical Society Meeting Abstracts	189	['46.03']	1996-12-00	1996-12-01T00:00:00Z	['AAS', 'AAS...189']	['1998ApJ...492..650B']	1	abstract		['NONARTICLE', 'NOT REFEREED']		('Escalante, V.', 90)	
1995RMxAC...3..241E	['Faint Emission Lines in the Orion Nebula: C and O Abundances']	['Esteban, C.', 'Peimbert, M.', 'Torres-Peimbert, S.', 'Escalante, V.']	['-', '-', '-', '-']	1995	Revista Mexicana de Astronomia y Astrofisica Conference Series	3	['241']	1995-12-00	1995-12-01T00:00:00Z	['RMxAC', 'RMxAC...3']		0	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']		('Escalante, V.', 90)	
1994RMxAA..29..202E	['Attenuation of Ultraviolet Radiation by Dust in Interstellar Clouds']	['Escalante, V.']	['-']	1994	Revista Mexicana de Astronomia y Astrofisica, vol. 29	29	['202']	1994-07-00	1994-07-01T00:00:00Z	['RMxAA', 'RMxAA..29']	['2001RMxAA..37..221W']	1	article		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS']	['dust', 'ism dust extinction', 'radiative transfer']	('Escalante, V.', 90)	
1994ADNDT..56..213E	['Transition Probabilities and Photoionization of Neutral Atomic Oxygen']	['Escalante, V.', 'Victor, G. A.']	['-', '-']	1994	Atomic Data and Nuclear Data Tables	56	['213']	1994-03-00	1994-03-01T00:00:00Z	['ADNDT', 'ADNDT..56']	['2004JGRA..10910309S', '2007EPJD...44..433C', '2012MNRAS.426.2318E']	3	article		['ARTICLE', 'ESOURCE', 'REFEREED']		('Escalante, V.', 90)	
1993IAUS..155..220E	['Photodissociation Regions in Planetary Nebulae']	['Escalante, V.', 'Gongora-T., A.']	['-', '-']	1993	Planetary Nebulae	155	['220']	1993-00-00	1993-01-01T00:00:00Z	['IAUS', 'IAUS..155']		0	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']		('Escalante, V.', 90)	
1992P&SS...40.1705E	['Effective radiative recombination coefficients of atomic oxygen']	['Escalante, Vladimir', 'Victor, G. A.']	['Instituto de Astronomia, Universidad Nacional Autónoma de México, Ap. Postal 70-264, Ciudad Universitaria de México, 04510 Mexico', 'Institute for Theoretical Atomic and Molecular Physics, Harvard-Smithsonian Center for Astrophysics, Cambridge, MA 02138, U.S.A.']	1992	Planetary and Space Science	40	['1705']	1992-12-00	1992-12-01T00:00:00Z	['P&SS', 'P&SS...40']	['1994AAMOP..32..117F', '1994JQSRT..51..629C', '1996ApJ...456..811H', '1998MNRAS.295..401E', '1999JGR...10414901M', '2000JGR...105.5275L', '2004ApJS..153..501G', '2004JGRA..10910309S', '2004MNRAS.355..229E', '2005ApJ...618L..95E', '2005RMxAC..24..243G', '2006JASTP..68.1426S', '2006MNRAS.368..253G', '2007PhDT.......199G', '2007RMxAA..43....3G', '2008JGRA..11312301S', '2008SSRv..139...63H', '2011ApJ...732....8V', '2012MNRAS.426.2318E', '2013A&A...558A.122G', '2013MNRAS.433..382E', '2015MNRAS.447..817B', '2015MNRAS.452.2606G', '2018Icar..300..411F', '2018JGRA..123.3078W', '2022arXiv220808445M']	26	article		['ARTICLE', 'ESOURCE', 'REFEREED']	['atoms', 'oxygen', 'radiative transfer', 'recombination', 'transition', 'astrochemistry', 'solar system general', 'atoms', 'waves', '-']	('Escalante, Vladimir', 100)	
1992IAUS..150..333E	['Near Infrared Emission of Neutral Carbon from Photon-Dominated Regions(cp)']	['Escalante, V.', 'Sternberg, A.', 'Dalgarno, A.']	['-', '-', '-']	1992	Astrochemistry of Cosmic Phenomena	150	['333']	1992-00-00	1992-01-01T00:00:00Z	['IAUS', 'IAUS..150']		0	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']		('Escalante, V.', 90)	
1992ADNDT..51....1E	['Photoionization of Excited States of Neutral Atomic Carbon and Singly Ionized Nitrogen']	['Escalante, V.', 'Victor, G. A.']	['-', '-']	1992	Atomic Data and Nuclear Data Tables	51	['1']	1992-00-00	1992-01-01T00:00:00Z	['ADNDT', 'ADNDT..51']	['1992P&SS...40.1705E', '1994AAMOP..33..389M', '1997A&AT...12...85G', '2013JSpRo..50...19J', '2020JSpRo..57..692E']	5	article		['ARTICLE', 'ESOURCE', 'REFEREED']		('Escalante, V.', 90)	
1991PASP..103..838E	['Photodissociation Regions']	['Escalante, Vladimir']	['Universidad Nacional Autonoma de Mexico, Coyoacan, Mexico']	1991	Publications of the Astronomical Society of the Pacific	103	['838']	1991-08-00	1991-08-01T00:00:00Z	['PASP', 'PASP..103']	['1994RMxAA..29..202E', '1998ApJ...501..192D']	2	article		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['gas', 'hydrogen', 'astrochemistry', 'atoms', 'ism reflection nebulae', 'carbon', 'astronomy uv', 'ism molecules', '-', 'ism molecules', '-', '-', 'astrochemistry']	('Escalante, Vladimir', 100)	
1991ApJ...375..630E	['Near-Infrared Emission of Neutral Carbon from Photon-dominated Regions']	['Escalante, V.', 'Sternberg, A.', 'Dalgarno, A.']	['Universidad Nacional Autonoma de Mexico, Coyoacan, Mexico', 'Max-Planck-Institut für Physik und Astrophysik, Garching bei München, Germany', 'Harvard-Smithsonian Center for Astrophysics, Cambridge, MA']	1991	The Astrophysical Journal	375	['630']	1991-07-00	1991-07-01T00:00:00Z	['ApJ', 'ApJ...375']	['1992IAUS..150..333E', '1993ApJ...402L..73S', '1993IAUS..155..220E', '1993RPPh...56.1209W', '1994A&A...281L..93B', '1994Ap&SS.216..267O', '1994ApJ...428..209N', '1995MNRAS.273...47L', '1996MNRAS.279..511L', '1997ARA&A..35..179H', '1997Ap&SS.250..271W', '1999RvMP...71..173H', '2000A&A...364..301W', '2000ApJ...539..751S', '2001ARA&A..39...99O', '2001PASP..113...29O', '2001RMxAC..10....1O', '2007A&A...467..187R', '2011MNRAS.418.2532S', '2012ApJ...750..155V', '2016ApJ...817..175S', '2019MNRAS.490.2056R', '2021MNRAS.502.4597H', '2022ARA&A..60..247W']	24	article		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['carbon', 'emission', 'neutral atoms', 'ism planetary nebulae', 'ism hii regions', 'astronomy ir', '-', 'atoms', 'astronomy infrared', '-', 'ism planetary nebulae']	('Escalante, V.', 90)	
1991RMxAA..22..113G	['Tables of Relative Strengths of Spectral Lines with Mixed Vector Couplings: Dipole Transitions Between LS and Other Couplings']	['Gongora, T. A.', 'Escalante, V.']	['-', '-']	1991	Revista Mexicana de Astronomia y Astrofisica	22	['113']	1991-04-00	1991-04-01T00:00:00Z	['RMxAA', 'RMxAA..22']	['1998MNRAS.295..401E', '2004iibc.book....1M']	2	article		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'OPENACCESS', 'REFEREED']		('Escalante, V.', 90)	
1991ApJ...369..213E	['Nitrogen Recombination Lines and Abundance in Nova Shells']	['Escalante, Vladimir', 'Dalgarno, Alexander']	['Universidad Nacional Autonoma de Mexico, Coyoacan, Mexico', 'Harvard-Smithsonian Center for Astrophysics, Cambridge, MA']	1991	The Astrophysical Journal	369	['213']	1991-03-00	1991-03-01T00:00:00Z	['ApJ', 'ApJ...369']	['1992ADNDT..51....1E', '1992ApJS...81..683T', '1993ApJ...411..640T', '1996Ap&SS.237..321R', '1997IAUS..178..141S', '2012A&A...539A..94B', '2015ApJ...801..129S', '2015arXiv150304498S']	8	article		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['atoms', 'line profiles', 'nitrogen', 'stars novae;cataclysmic variables', 'recombination', '-', 'nuclear reactions;nucleosynthesis;abundances', 'atoms', 'nuclear reactions;nucleosynthesis;abundances', '-', 'atoms', '-', 'stars novae;cataclysmic variables']	('Escalante, Vladimir', 100)	
1991ASPC...16..273R	['HI in the HH7-11 and NGC 1333 Regions']	['Rodriguez, L. F.', 'Lizano, S.', 'Canto, J.', 'Escalante, V.']	['-', '-', '-', '-']	1991	Atoms, Ions and Molecules: New Results in Spectral Line Astrophysics	16	['273']	1991-00-00	1991-01-01T00:00:00Z	['ASPC', 'ASPC...16']	['1991ASPC...16..257T', '2006AJ....131..473B']	2	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']		('Escalante, V.', 90)	
1990ApJ...365..261R	['VLA Observations of High-Velocity H i Associated with the Herbig-Haro Objects 7--11']	['Rodriguez, L. F.', 'Lizano, S.', 'Canto, J.', 'Escalante, V.', 'Mirabel, I. F.']	"['Universidad Nacional Autonoma de Mexico, Coyoacan, Mexico; Harvard-Smithsonian Center for Astrophysics, Cambridge, MA', 'Universidad Nacional Autonoma de Mexico, Coyoacan, Mexico; Harvard-Smithsonian Center for Astrophysics, Cambridge, MA', 'Universidad Nacional Autonoma de Mexico, Coyoacan, Mexico; Arcetri, Osservatorio Astrofisico, Florence, Italy', 'Universidad Nacional Autonoma de Mexico, Coyoacan, Mexico', ""CEA, Centre d'Études Nucleaires de Saclay, Gif-sur-Yvette, France""]"	1990	The Astrophysical Journal	365	['261']	1990-12-00	1990-12-01T00:00:00Z	['ApJ', 'ApJ...365']	['1991ApJ...376L..17S', '1991PASP..103..838E', '1992A&A...260..341F', '1992A&ARv...3..257B', '1992ApJ...385..536R', '1992ApJ...397..214G', '1992ApJ...398..139R', '1992IAUS..150..351R', '1993AJ....105..331H', '1993ApJ...409..275B', '1994ApJ...423L.147N', '1994MNRAS.266..933D', '1995A&A...295..183S', '1995ApJ...442..694R', '1995ApJ...447..742L', '1995ApJ...452L..73L', '1995ApJ...455..182C', '1995MNRAS.274..639F', '1996ARA&A..34..111B', '1997ApJ...480L.125R', '1997RMxAA..33..165L', '1998ApJ...503..297G', '1999ASIC..540..227B', '1999ApJS..125..427R', '2000A&A...362L..33B', '2000ApJ...538..698M', '2000ApJ...538..728G', '2000SSRv...92..153S', '2000astro.ph..3031M', '2000fdtp.conf..153S', '2001A&A...369..155C', '2001ApJ...558..204R', '2003ApJ...592..176M', '2004NewAR..48.1327H', '2008AJ....136.2238C', '2008hsf1.book..346W', '2012A&A...538A...2P', '2012ApJ...748...75L', '2016ARA&A..54..491B', '2017A&A...605A..93K', '2019ApJ...887..229R']	41	article		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['emission', 'ism hii regions', 'ism herbig haro objects', 'stars winds outflows', 'atoms', 'ism reflection nebulae', '-', '-', 'nebulae', '-', '-', 'astronomy radio', 'stars pre main sequence']	('Escalante, V.', 90)	
1990ApJS...74..819E	['Relative Strengths of Spectral Lines with Mixed Vector Couplings: Dipole Transitions between LS and Other Couplings']	['Escalante, V.', 'Gongora-T., A.']	['Universidad Nacional Autonoma de Mexico, Coyoacan, Mexico', 'Universidad Nacional Autonoma de Mexico, Mexico City, Mexico']	1990	The Astrophysical Journal Supplement Series	74	['819']	1990-11-00	1990-11-01T00:00:00Z	['ApJS', 'ApJS...74']	['1994AAMOP..33..389M', '1998MNRAS.295..401E', '2004iibc.book....1M', '2005MNRAS.361..813E', '2012MNRAS.426.2318E']	5	article		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['electrodynamics', 'heavy elements', 'line profiles', 'ism planetary nebulae', 'transition', 'astronomy visual', 'quantum theory', '-', 'atoms', 'ism planetary nebulae', 'transition']	('Escalante, V.', 90)	
1990ApJS...73..513E	['Effective Recombination Coefficients of Neutral Carbon and Singly Ionized Nitrogen']	['Escalante, Vladimir', 'Victor, G. A.']	['Universidad Nacional Autonoma de Mexico, Coyacan, Mexico', 'Harvard-Smithsonian Center for Astrophysics, Cambridge, MA']	1990	The Astrophysical Journal Supplement Series	73	['513']	1990-07-00	1990-07-01T00:00:00Z	['ApJS', 'ApJS...73']	['1990RPPh...53.1559P', '1991ApJ...369..213E', '1991ApJ...375..630E', '1991ApJ...382..606R', '1992ADNDT..51....1E', '1992ApJ...390..602K', '1992IAUS..150..333E', '1992P&SS...40.1705E', '1993ApJ...410..188C', '1994AAMOP..33..389M', '1994BaltA...3..112N', '1995MNRAS.272..369L', '1995MNRAS.273...47L', '1996A&A...312..135M', '1997A&AT...12...85G', '1998MNRAS.295..401E', '1999A&AS..137..157K', '2000A&A...364..301W', '2000MNRAS.312..585L', '2002A&A...387.1135K', '2003A&A...404..545Z', '2003MNRAS.340..253W', '2004A&A...422..563S', '2004ApJ...615..323S', '2004ApJS..153..501G', '2004MNRAS.351.1026W', '2004MNRAS.353..953T', '2004MNRAS.355..229E', '2005A&A...429..543N', '2005A&A...441..159N', '2005A&A...442..249Z', '2005MNRAS.361..813E', '2005MNRAS.362..424W', '2007PhDT.......199G', '2009A&A...496..139G', '2009ApJ...705..509O', '2010ApJ...723..658O', '2011A&A...530A..18F', '2011MNRAS.418.2532S', '2012MNRAS.422.3516W', '2012MNRAS.426.2318E', '2013MNRAS.428.3443M', '2013MNRAS.429.2791F', '2014PhDT........76D', '2015MNRAS.447..817B', '2016MNRAS.461.2818M', '2017MNRAS.471.3008S', '2018MNRAS.480.4589W', '2019A&A...632A..32M', '2019JOSS....4..898D']	50	article		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'OPENACCESS', 'REFEREED', 'TOC']	['atoms', 'carbon', 'astrochemistry', 'nitrogen', 'recombination', 'atoms', 'heavy elements', 'line profiles', 'radiative transfer', '-', 'atoms', 'transition']	('Escalante, Vladimir', 100)	
1989RMxAA..18..184D	['Nitrogen Abundance and Recombination Lines in Nova Shells']	['Dalgarno, A.', 'Escalante, V.']	['-', '-']	1989	Revista Mexicana de Astronomia y Astrofisica, vol. 18	18	['184']	1989-09-00	1989-09-01T00:00:00Z	['RMxAA', 'RMxAA..18']		0	article		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']		('Escalante, V.', 90)	
1989RMxAA..17...11E	['The asymmetric profile of the H76α line emission from MWC 349.']	['Escalante, V.', 'Rodríguez, L. F.', 'Moran, J. M.', 'Cantó, J.']	['-', '-', '-', '-']	1989	Revista Mexicana de Astronomia y Astrofisica	17	['11']	1989-05-00	1989-05-01T00:00:00Z	['RMxAA', 'RMxAA..17']	['1990ASSL..163..161M', '1992A&A...256..507T', '1992A&ARv...4..161R', '1992ApJ...387L..77B', '1993ApJ...418L..79M', '1994A&A...282..547M', '1994A&A...286..890M', '1994ApJ...424..976P', '1994ApJ...428..324R', '1995A&A...300..843T', '1996ApJ...470.1134S', '1998A&A...333L..63T', '2000RMxAA..36..135C', '2001ApJ...559..402G', '2002IAUS..206..226M', '2003ApJ...589..953G', '2003CoKon.103..145C', '2004ApJ...610..827T', '2004ApJ...614..807L', '2010ApJ...722L.100L', '2010RMxAA..46..215R', '2012ApJ...751...63A', '2012IAUS..287..460B', '2012MNRAS.425.2352P', '2013A&A...553A..45B', '2017isra.book.....T', '2019RMxAA..55...31I']	27	article		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'OPENACCESS', 'REFEREED']	['-', '-', '-', '-', '-']	('Escalante, V.', 90)	
1989IAUS..131..225E	['Emission lines of C I and N II in planetary nebulae.']	['Escalante, V.']	['-']	1989	Planetary Nebulae	131	['225']	1989-00-00	1989-01-01T00:00:00Z	['IAUS', 'IAUS..131']		0	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'DATA', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']	['ism planetary nebulae']	('Escalante, V.', 90)	
1988PhDT........68E	['Recombination lines of C I and N II in the interstellar medium']	['Escalante, Vladimir']	['Harvard University, United States']	1988	Ph.D. Thesis			1988-00-00	1988-01-01T00:00:00Z	['PhDT', 'PhDT.....']	['1990RPPh...53.1559P', '1991ApJ...369..213E']	2	phdthesis		['NONARTICLE', 'REFEREED']		('Escalante, Vladimir', 100)	
1988ADNDT..40..227V	['Oscillator Strengths for Singly Ionized Nitrogen']	['Victor, G. A.', 'Escalante, V.']	['-', '-']	1988	Atomic Data and Nuclear Data Tables	40	['227']	1988-00-00	1988-01-01T00:00:00Z	['ADNDT', 'ADNDT..40']	['1989JPhB...22.3377L', '1990ApJS...73..513E', '1991ApJ...369..213E', '1991ZPhyD..21..209D', '1992ADNDT..51....1E', '1992JPhB...25.1735B', '1992P&SS...40.1705E', '1992ZPhyD..24..343B', '1993PhRvA..47..161E', '1995PhyS...51...81R', '1996MNRAS.279..804W', '1996PhST...65...36G', '1998MNRAS.295..401E', '2000ApJ...543.1051L', '2000JChPh.112.7042Z', '2002RMxAC..12...22E', '2005MNRAS.361..813E', '2012MNRAS.426.2318E', '2015ApJ...801..129S', '2015arXiv150304498S']	20	article		['ARTICLE', 'ESOURCE', 'REFEREED']		('Escalante, V.', 90)	
1988ADNDT..40..203V	['Oscillator Strengths for Neutral Atomic Carbon']	['Victor, G. A.', 'Escalante, V.']	['-', '-']	1988	Atomic Data and Nuclear Data Tables	40	['203']	1988-00-00	1988-01-01T00:00:00Z	['ADNDT', 'ADNDT..40']	['1988ADNDT..40..227V', '1990ApJ...361..197T', '1990ApJS...73..513E', '1990JAP....68.5016F', '1990JaJAP..29..191T', '1990PhRvA..42.1080B', '1991A&A...241..321H', '1991A&A...251..680P', '1992ADNDT..51....1E', '1992JPhB...25.4939G', '1992P&SS...40.1705E', '1993ApJ...412..431B', '1993JPhB...26.3653G', '1994JPSJ...63.2942S', '1995PhyS...51...81R', '1996MNRAS.279..804W', '1997JQSRT..57..309O', '1997P&SS...45..311N', '1998PhyS...58..326C', '2001JOSAB..18.1395Z', '2002ApJS..143..231Z', '2019A&A...628A.102K']	22	article		['ARTICLE', 'ESOURCE', 'REFEREED']		('Escalante, V.', 90)	
1986inpr.conf...17R	['The asymmetric profile of the H76 alpha line emission from MWC349']	['Rodriguez, L. F.', 'Canto, J.', 'Escalante, V.', 'Moran, J. M.']	['Harvard-Smithsonian Center for Astrophysics, Cambridge, Mass.', 'Harvard-Smithsonian Center for Astrophysics, Cambridge, Mass.', 'Harvard-Smithsonian Center for Astrophysics, Cambridge, Mass.', '-']	1986	Interstellar Processes: Abstracts of Contributed Papers		['17']	1986-10-00	1986-10-01T00:00:00Z	['inpr', 'inpr.conf']	['2002A&A...386L...5L', '2002astro.ph..2506L']	2	inproceedings		['ARTICLE', 'NOT REFEREED', 'TOC']	['astronomy radio', 'space science', 'techniques spectroscopic', '-', '-', 'stars fundamental parameters', 'stars winds outflows', 'line profiles', 'astronomy radio', 'space science', '-', '-']	('Escalante, V.', 90)	
